Node_ID,X,Y,Z,Head,Velocity_X,Velocity_Y,Darcy_Flux_X,Darcy_Flux_Y,Hydraulic_Gradient
118,65.0,25.0,0.0,6.750000000000019,1.4285714285714341e-05,1.3932181166927606e-19,5.000000000000019e-06,4.876263408424662e-20,0.0500000000000002
119,70.0,25.0,0.0,6.500000000000015,1.428571428571444e-05,1.3304206154456217e-19,5.000000000000054e-06,4.656472154059676e-20,0.05000000000000052
120,75.0,25.0,0.0,6.2500000000000115,1.4285714285714495e-05,4.987022806296334e-20,5.000000000000073e-06,1.7454579822037166e-20,0.05000000000000073
121,80.0,25.0,0.0,6.000000000000009,1.4285714285714472e-05,-1.5411288697372964e-20,5.000000000000065e-06,-5.393951044080537e-21,0.05000000000000064
122,85.0,25.0,0.0,5.750000000000005,1.4285714285714453e-05,-2.1406358726223118e-20,5.000000000000058e-06,-7.49222555417809e-21,0.050000000000000565
123,90.0,25.0,0.0,5.500000000000002,1.4285714285714392e-05,2.827408260616443e-20,5.000000000000037e-06,9.895928912157551e-21,0.050000000000000364
124,95.0,25.0,0.0,5.250000000000003,1.4285714285714341e-05,3.1720657846433064e-20,5.000000000000019e-06,1.1102230246251572e-20,0.05000000000000018
125,100.0,25.0,0.0,5.0,1.4285714285714387e-05,2.1855398952066686e-20,5.000000000000035e-06,7.64938963322334e-21,0.05000000000000036
126,0.0,30.0,0.0,10.0,1.4285714285714245e-05,1.1990140057700294e-20,4.999999999999985e-06,4.196549020195103e-21,0.04999999999999984
127,5.0,30.0,0.0,9.75,1.4285714285714104e-05,3.2757671827504024e-20,4.999999999999936e-06,1.1465185139626407e-20,0.04999999999999934
128,10.0,30.0,0.0,9.500000000000007,1.4285714285714026e-05,-5.196968262570129e-20,4.999999999999909e-06,-1.818938891899545e-20,0.04999999999999909
129,15.0,30.0,0.0,9.25000000000001,1.4285714285713948e-05,-5.957112682734985e-20,4.999999999999882e-06,-2.0849894389572446e-20,0.0499999999999988
130,20.0,30.0,0.0,9.00000000000002,1.4285714285713948e-05,-1.2907697931375805e-19,4.999999999999882e-06,-4.5176942759815314e-20,0.04999999999999882
131,25.0,30.0,0.0,8.750000000000025,1.4285714285714223e-05,-1.2527625721293366e-19,4.9999999999999775e-06,-4.3846690024526783e-20,0.04999999999999977
132,30.0,30.0,0.0,8.500000000000021,1.4285714285714348e-05,-9.675472163790436e-22,5.000000000000022e-06,-3.386415257326653e-22,0.05000000000000022
133,35.0,30.0,0.0,8.250000000000021,1.4285714285714353e-05,4.229421046191072e-20,5.000000000000023e-06,1.4802973661668752e-20,0.050000000000000246
134,40.0,30.0,0.0,8.00000000000002,1.4285714285714404e-05,-3.187321745000875e-21,5.000000000000041e-06,-1.1155626107503062e-21,0.05000000000000042
135,45.0,30.0,0.0,7.750000000000018,1.4285714285714406e-05,-1.1956586727994732e-19,5.000000000000042e-06,-4.184805354798156e-20,0.05000000000000041
136,50.0,30.0,0.0,7.500000000000016,1.428571428571438e-05,-1.35236409472588e-19,5.000000000000033e-06,-4.7332743315405796e-20,0.050000000000000336
137,55.0,30.0,0.0,7.250000000000014,1.4285714285714309e-05,1.7536169860706888e-20,5.000000000000008e-06,6.1376594512474105e-21,0.05000000000000007
138,60.0,30.0,0.0,7.000000000000015,1.4285714285714314e-05,1.4942089745831417e-19,5.00000000000001e-06,5.2297314110409954e-20,0.05000000000000008
139,65.0,30.0,0.0,6.7500000000000115,1.4285714285714343e-05,1.0660818000586793e-19,5.00000000000002e-06,3.7312863002053776e-20,0.0500000000000002
140,70.0,30.0,0.0,6.500000000000013,1.4285714285714358e-05,6.070303417370873e-20,5.000000000000025e-06,2.1246061960798053e-20,0.050000000000000246
141,75.0,30.0,0.0,6.2500000000000115,1.4285714285714453e-05,-3.2567885096928304e-21,5.000000000000058e-06,-1.1398759783924905e-21,0.050000000000000565
